network_data,network_parity,local_data,local_parity,throughput
10,2,1,1,3368.001404
10,2,1,2,2390.296027
10,2,1,3,1905.627466
10,2,1,4,1639.304057
10,2,1,5,1371.746763
10,2,1,6,1261.0647
10,2,1,7,1063.06435
10,2,1,8,935.302559
10,2,1,9,846.547271
10,2,1,10,784.519965
10,2,2,1,4110.064055
10,2,2,2,3318.629008
10,2,2,3,2788.267227
10,2,2,4,2499.22586
10,2,2,5,2235.398198
10,2,2,6,1998.781031
10,2,2,7,1700.717691
10,2,2,8,1609.59769
10,2,2,9,1461.585185
10,2,2,10,1376.070945
10,2,3,1,4333.858074
10,2,3,2,3799.269003
10,2,3,3,3375.365058
10,2,3,4,3037.928245
10,2,3,5,2721.652559
10,2,3,6,2471.365107
10,2,3,7,2197.146635
10,2,3,8,2012.124823
10,2,3,9,1879.096161
10,2,3,10,1742.437258
10,2,4,1,4492.889018
10,2,4,2,4098.560891
10,2,4,3,3676.721851
10,2,4,4,3409.394918
10,2,4,5,2998.606612
10,2,4,6,2737.204691
10,2,4,7,2285.493762
10,2,4,8,2165.775308
10,2,4,9,1979.46507
10,2,4,10,1907.005235
10,2,5,1,4503.302725
10,2,5,2,4183.26834
10,2,5,3,3876.673736
10,2,5,4,3488.116622
10,2,5,5,3173.33004
10,2,5,6,2740.558237
10,2,5,7,2236.435385
10,2,5,8,2217.865756
10,2,5,9,1963.302337
10,2,5,10,1906.635561
10,2,6,1,4698.050201
10,2,6,2,4319.711416
10,2,6,3,3876.513388
10,2,6,4,3434.093895
10,2,6,5,2859.947311
10,2,6,6,2618.954388
10,2,6,7,2228.173066
10,2,6,8,1971.442689
10,2,6,9,1930.014419
10,2,6,10,1883.524579
10,2,7,1,4593.16664
10,2,7,2,4274.526584
10,2,7,3,3637.495854
10,2,7,4,3202.782779
10,2,7,5,2794.579989
10,2,7,6,2577.074021
10,2,7,7,2217.838305
10,2,7,8,2053.225876
10,2,7,9,1933.244182
10,2,7,10,1674.443161
10,2,8,1,4536.325835
10,2,8,2,3999.555321
10,2,8,3,3577.933548
10,2,8,4,3204.800179
10,2,8,5,2909.21604
10,2,8,6,2784.743309
10,2,8,7,2300.63607
10,2,8,8,2010.358472
10,2,8,9,1932.438466
10,2,8,10,1732.68791
10,2,9,1,4493.84505
10,2,9,2,3960.009656
10,2,9,3,3535.623445
10,2,9,4,3271.730673
10,2,9,5,3142.104361
10,2,9,6,3012.905005
10,2,9,7,2328.523154
10,2,9,8,2182.797431
10,2,9,9,2002.691371
10,2,9,10,1933.286136
10,2,10,1,4558.139568
10,2,10,2,4023.072105
10,2,10,3,3705.668325
10,2,10,4,3534.27731
10,2,10,5,3416.803416
10,2,10,6,3151.83352
10,2,10,7,2422.406432
10,2,10,8,2304.565209
10,2,10,9,2276.02768
10,2,10,10,2203.574076
10,2,11,1,4335.498874
10,2,11,2,4157.417774
10,2,11,3,3871.235861
10,2,11,4,3742.704665
10,2,11,5,3444.954263
10,2,11,6,3058.445815
10,2,11,7,2384.440795
10,2,11,8,2412.446361
10,2,11,9,2336.747687
10,2,11,10,2205.283879
10,2,12,1,4634.176108
10,2,12,2,4197.969695
10,2,12,3,4055.751713
10,2,12,4,3727.898421
10,2,12,5,3259.050823
10,2,12,6,3012.043999
10,2,12,7,2360.235563
10,2,12,8,2372.380185
10,2,12,9,2266.293982
10,2,12,10,2187.044128
10,2,13,1,4617.244279
10,2,13,2,4439.065909
10,2,13,3,4058.242006
10,2,13,4,3632.56574
10,2,13,5,3126.846787
10,2,13,6,2823.472707
10,2,13,7,2240.189758
10,2,13,8,2232.876008
10,2,13,9,2112.24194
10,2,13,10,1967.661013
10,2,14,1,4769.597338
10,2,14,2,4440.737143
10,2,14,3,3954.92771
10,2,14,4,3466.473783
10,2,14,5,2984.719472
10,2,14,6,2712.031022
10,2,14,7,2257.364371
10,2,14,8,2185.673729
10,2,14,9,1951.102324
10,2,14,10,1869.712505
10,2,15,1,4587.599761
10,2,15,2,4170.685446
10,2,15,3,3727.70885
10,2,15,4,3356.862266
10,2,15,5,2847.865943
10,2,15,6,2713.651947
10,2,15,7,2179.462798
10,2,15,8,2108.717606
10,2,15,9,1888.123647
10,2,15,10,1750.565686
10,2,16,1,4495.255135
10,2,16,2,4068.656672
10,2,16,3,3614.151195
10,2,16,4,3258.619339
10,2,16,5,2957.901214
10,2,16,6,2628.088134
10,2,16,7,2114.595362
10,2,16,8,1986.232438
10,2,16,9,1845.436302
10,2,16,10,1813.432927
10,2,17,1,4426.139138
10,2,17,2,3884.955821
10,2,17,3,3437.666034
10,2,17,4,3064.035427
10,2,17,5,2590.601134
10,2,17,6,2461.979136
10,2,17,7,1909.490736
10,2,17,8,1866.281381
10,2,17,9,1638.38651
10,2,17,10,1638.95436
10,2,18,1,4254.287703
10,2,18,2,3843.242973
10,2,18,3,3424.385961
10,2,18,4,3058.035985
10,2,18,5,2773.963791
10,2,18,6,2427.789722
10,2,18,7,1884.736498
10,2,18,8,1842.091433
10,2,18,9,1618.698717
10,2,18,10,1602.026687
10,2,19,1,4117.557862
10,2,19,2,3718.187636
10,2,19,3,3319.871641
10,2,19,4,2962.270897
10,2,19,5,2704.050701
10,2,19,6,2351.105996
10,2,19,7,1953.483876
10,2,19,8,1729.69202
10,2,19,9,1707.581207
10,2,19,10,1598.782588
10,2,20,1,4294.458232
10,2,20,2,3751.383875
10,2,20,3,3324.960869
10,2,20,4,3016.382302
10,2,20,5,2741.91884
10,2,20,6,2398.756786
10,2,20,7,1982.629479
10,2,20,8,1773.282373
10,2,20,9,1729.807804
10,2,20,10,1599.119546
10,2,21,1,4197.07739
10,2,21,2,3653.924571
10,2,21,3,3250.675697
10,2,21,4,2974.621297
10,2,21,5,2742.94314
10,2,21,6,2369.415981
10,2,21,7,1867.89649
10,2,21,8,1729.296822
10,2,21,9,1688.899898
10,2,21,10,1639.824777
10,2,22,1,4125.702372
10,2,22,2,3691.053613
10,2,22,3,3234.110538
10,2,22,4,2945.953046
10,2,22,5,2604.575655
10,2,22,6,2516.882389
10,2,22,7,1905.727117
10,2,22,8,1797.164372
10,2,22,9,1721.043082
10,2,22,10,1626.753594
10,2,23,1,4119.005386
10,2,23,2,3711.579471
10,2,23,3,3260.286045
10,2,23,4,2981.030756
10,2,23,5,2742.059615
10,2,23,6,2448.223393
10,2,23,7,1814.299264
10,2,23,8,1814.770164
10,2,23,9,1639.367134
10,2,23,10,1643.561251
10,2,24,1,3898.571059
10,2,24,2,3577.022413
10,2,24,3,3196.591078
10,2,24,4,2895.929834
10,2,24,5,2457.485371
10,2,24,6,2244.996258
10,2,24,7,1861.058339
10,2,24,8,1791.963365
10,2,24,9,1610.596207
10,2,24,10,1556.391696
10,2,25,1,3951.617697
10,2,25,2,3626.783112
10,2,25,3,3236.432236
10,2,25,4,2967.850647
10,2,25,5,2472.655091
10,2,25,6,2265.272171
10,2,25,7,1862.050836
10,2,25,8,1730.565872
10,2,25,9,1653.901385
10,2,25,10,1529.359503
10,2,26,1,4126.655783
10,2,26,2,3565.629766
10,2,26,3,3183.630213
10,2,26,4,2820.385138
10,2,26,5,2374.118702
10,2,26,6,2293.956731
10,2,26,7,1746.211455
10,2,26,8,1737.981208
10,2,26,9,1617.438221
10,2,26,10,1515.112717
10,2,27,1,3892.233918
10,2,27,2,3527.168338
10,2,27,3,3120.594944
10,2,27,4,2803.67107
10,2,27,5,2371.428601
10,2,27,6,1839.862383
10,2,27,7,1462.928529
10,2,27,8,1474.421833
10,2,27,9,1356.629734
10,2,27,10,1295.41299
10,2,28,1,3797.886099
10,2,28,2,3507.110764
10,2,28,3,2984.026365
10,2,28,4,2724.635235
10,2,28,5,1852.394487
10,2,28,6,1412.726625
10,2,28,7,1267.410367
10,2,28,8,1237.705692
10,2,28,9,1122.638214
10,2,28,10,1132.905115
10,2,29,1,3800.545949
10,2,29,2,3389.945198
10,2,29,3,2983.495822
10,2,29,4,2074.053337
10,2,29,5,1550.318751
10,2,29,6,1375.266793
10,2,29,7,1250.342379
10,2,29,8,1218.959796
10,2,29,9,1110.567192
10,2,29,10,1065.955754
10,2,30,1,3803.528652
10,2,30,2,3348.171391
10,2,30,3,2316.859413
10,2,30,4,1749.634285
